291,Wancho,123584,123647
292,Nag Mundari,124112,124159
293,Ethiopic Extended-B,124896,124927
294,Mende Kikakui,124928,125151
295,Adlam,125184,125279
296,Indic Siyaq Numbers,126064,126143
297,Ottoman Siyaq Numbers,126208,126287
298,Arabic Mathematical Alphabetic Symbols,126464,126719
299,Mahjong Tiles,126976,127023
300,Domino Tiles,127024,127135
301,Playing Cards,127136,127231
302,Enclosed Alphanumeric Supplement,127232,127487
303,Enclosed Ideographic Supplement,127488,127743
304,Miscellaneous Symbols and Pictographs,127744,128511
305,Emoticons,128512,128591
306,Ornamental Dingbats,128592,128639
307,Transport and Map Symbols,128640,128767
308,Alchemical Symbols,128768,128895
309,Geometric Shapes Extended,128896,129023
310,Supplemental Arrows-C,129024,129279
311,Supplemental Symbols and Pictographs,129280,129535
312,Chess Symbols,129536,129647
313,Symbols and Pictographs Extended-A,129648,129791
314,Symbols for Legacy Computing,129792,130047
315,CJK Unified Ideographs Extension B,131072,173791
316,CJK Unified Ideographs Extension C,173824,177983
317,CJK Unified Ideographs Extension D,177984,178207
318,CJK Unified Ideographs Extension E,178208,183983
319,CJK Unified Ideographs Extension F,183984,191471
320,CJK Compatibility Ideographs Supplement,194560,195103
321,CJK Unified Ideographs Extension G,196608,201551
322,CJK Unified Ideographs Extension H,201552,205743
323,Tags,917504,917631
324,Variation Selectors Supplement,917760,917999
